model,perturbation_type,uncertainty_level,uncertainty_percent,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
standard_NN,known,0.0,0.0,f1,0.3557862091343714,0.21797000029146402,0.997703541043627,750,0.0006366660018102266
standard_NN,known,0.0,0.0,f2,1.4312407006622998,0.8788319144803287,0.9976773389298662,750,0.0006366660018102266
standard_NN,known,0.0,0.0,f3,3.2275518573027795,1.9857427633892741,0.9976668540526057,750,0.0006366660018102266
standard_NN,known,0.0,0.0,f4,5.728036685302468,3.5179640279776296,0.9976748440649964,750,0.0006366660018102266
standard_NN,known,0.0,0.0,peak_displacement,0.013243841436468782,0.004606933207288923,0.6515701231992632,750,0.0006366660018102266
standard_NN,known,0.0,0.0,rms_displacement,0.006654337566675654,0.0023842797037571233,0.6519269905766178,750,0.0006366660018102266
standard_NN,known,0.01,1.0,f1,0.35059047577893926,0.2153843306041321,0.9977644147546898,750,0.000667958000121871
standard_NN,known,0.01,1.0,f2,1.4077739116956571,0.865501161556982,0.9977471262747288,750,0.000667958000121871
standard_NN,known,0.01,1.0,f3,3.1746684751617775,1.9597386134790946,0.9977369051983646,750,0.000667958000121871
standard_NN,known,0.01,1.0,f4,5.644779744755909,3.4636037427171433,0.9977361635758645,750,0.000667958000121871
standard_NN,known,0.01,1.0,peak_displacement,0.012923243256393147,0.004434587486868186,0.6602185327368728,750,0.000667958000121871
standard_NN,known,0.01,1.0,rms_displacement,0.0065029653017162434,0.00230785567271992,0.6643643476683025,750,0.000667958000121871
standard_NN,known,0.025,2.5,f1,0.36712269039200324,0.22193127974106475,0.997540342128143,750,0.0008196250018954743
standard_NN,known,0.025,2.5,f2,1.468419864491165,0.8912186617096881,0.9975405796214228,750,0.0008196250018954743
standard_NN,known,0.025,2.5,f3,3.304190350668136,2.017342405321724,0.9975402138811855,750,0.0008196250018954743
standard_NN,known,0.025,2.5,f4,5.910534220487138,3.564845378263696,0.9975096192252972,750,0.0008196250018954743
standard_NN,known,0.025,2.5,peak_displacement,0.013305477141308458,0.004452183361307748,0.6272728585879146,750,0.0008196250018954743
standard_NN,known,0.025,2.5,rms_displacement,0.006738064194903259,0.0023145393998183625,0.6339074827614297,750,0.0008196250018954743
standard_NN,known,0.05,5.0,f1,0.4541947408468902,0.2597354013758879,0.9962188809161446,750,0.0009103749980567954
standard_NN,known,0.05,5.0,f2,1.82325186814371,1.045542487614903,0.9961918898245294,750,0.0009103749980567954
standard_NN,known,0.05,5.0,f3,4.083046023384128,2.3671494013145247,0.9962275830752061,750,0.0009103749980567954
standard_NN,known,0.05,5.0,f4,7.312700103217234,4.1420105041502575,0.9961712966867919,750,0.0009103749980567954
standard_NN,known,0.05,5.0,peak_displacement,0.014225799010990888,0.004666917303498231,0.547825316474076,750,0.0009103749980567954
standard_NN,known,0.05,5.0,rms_displacement,0.007268326613397356,0.0024387389753546722,0.561474901476873,750,0.0009103749980567954
standard_NN,known,0.1,10.0,f1,0.6728214250090414,0.38048012526239344,0.9916708752039123,750,0.0009793339995667338
standard_NN,known,0.1,10.0,f2,2.7135297087546197,1.5474867419630451,0.9915326224839636,750,0.0009793339995667338
standard_NN,known,0.1,10.0,f3,6.060107053557124,3.469406241027026,0.9916579014191147,750,0.0009793339995667338
standard_NN,known,0.1,10.0,f4,10.805929021848975,6.061386362199275,0.991607642030268,750,0.0009793339995667338
standard_NN,known,0.1,10.0,peak_displacement,0.014722250456281089,0.005087246800618406,0.4669225691067035,750,0.0009793339995667338
standard_NN,known,0.1,10.0,rms_displacement,0.007771807529460528,0.0026608831718136104,0.47253489025583983,750,0.0009793339995667338
standard_NN,hidden,0.0,0.0,f1,0.3557862091343714,0.21797000029146402,0.997703541043627,750,0.0006726669998897705
standard_NN,hidden,0.0,0.0,f2,1.4312407006622998,0.8788319144803287,0.9976773389298662,750,0.0006726669998897705
standard_NN,hidden,0.0,0.0,f3,3.2275518573027795,1.9857427633892741,0.9976668540526057,750,0.0006726669998897705
standard_NN,hidden,0.0,0.0,f4,5.728036685302468,3.5179640279776296,0.9976748440649964,750,0.0006726669998897705
standard_NN,hidden,0.0,0.0,peak_displacement,0.013243841436468782,0.004606933207288923,0.6515701231992632,750,0.0006726669998897705
standard_NN,hidden,0.0,0.0,rms_displacement,0.006654337566675654,0.0023842797037571233,0.6519269905766178,750,0.0006726669998897705
standard_NN,hidden,0.01,1.0,f1,0.3625571964319485,0.22555875675468356,0.9976091954873432,750,0.0016158329999598209
standard_NN,hidden,0.01,1.0,f2,1.4601745185551906,0.9092716290527245,0.997576290556088,750,0.0016158329999598209
standard_NN,hidden,0.01,1.0,f3,3.2929041568645694,2.053915810368095,0.9975651950899086,750,0.0016158329999598209
standard_NN,hidden,0.01,1.0,f4,5.835126349210079,3.6327714983859454,0.9975809125383168,750,0.0016158329999598209
standard_NN,hidden,0.01,1.0,peak_displacement,0.013034116987939597,0.0045967722760797605,0.6543632774114914,750,0.0016158329999598209
standard_NN,hidden,0.01,1.0,rms_displacement,0.006625053494024884,0.0023910849813532802,0.6516434409893973,750,0.0016158329999598209
standard_NN,hidden,0.025,2.5,f1,0.40341197513947696,0.2566862648788615,0.9970300453357673,750,0.0011832919990411028
standard_NN,hidden,0.025,2.5,f2,1.6252383599616194,1.0346927655043865,0.9969872271154172,750,0.0011832919990411028
standard_NN,hidden,0.025,2.5,f3,3.6640007592254076,2.3349107789882297,0.9969753276297331,750,0.0011832919990411028
standard_NN,hidden,0.025,2.5,f4,6.484606949407494,4.133929328380669,0.9970023591562244,750,0.0011832919990411028
standard_NN,hidden,0.025,2.5,peak_displacement,0.012772690841937861,0.004579588594166973,0.6565251734307229,750,0.0011832919990411028
standard_NN,hidden,0.025,2.5,rms_displacement,0.006580363788566019,0.00239364576810225,0.6508433071871655,750,0.0011832919990411028
standard_NN,hidden,0.05,5.0,f1,0.5281018962583678,0.3447442449012478,0.9948882264454129,750,0.0010568340003374033
standard_NN,hidden,0.05,5.0,f2,2.124545364892475,1.3887832139350689,0.9948293137262796,750,0.0010568340003374033
standard_NN,hidden,0.05,5.0,f3,4.786201657485246,3.124807671442685,0.9948163804419309,750,0.0010568340003374033
standard_NN,hidden,0.05,5.0,f4,8.471717597284275,5.541859205682456,0.9948614672574148,750,0.0010568340003374033
standard_NN,hidden,0.05,5.0,peak_displacement,0.012396565730554586,0.004530249904509527,0.6566352712359571,750,0.0010568340003374033
standard_NN,hidden,0.05,5.0,rms_displacement,0.006501697087419244,0.0023859630429526957,0.6491034896661575,750,0.0010568340003374033
standard_NN,hidden,0.1,10.0,f1,0.867184375201708,0.5758504988216584,0.9861636151644103,750,0.0006779169998480938
standard_NN,hidden,0.1,10.0,f2,3.4798945411846396,2.312539876692339,0.986074463782168,750,0.0006779169998480938
standard_NN,hidden,0.1,10.0,f3,7.8336436370909075,5.205188529482549,0.9860606556299342,750,0.0006779169998480938
standard_NN,hidden,0.1,10.0,f4,13.887567342761546,9.235596667823755,0.9861384391828404,750,0.0006779169998480938
standard_NN,hidden,0.1,10.0,peak_displacement,0.011976695469470626,0.0045262511330949285,0.6472102923718266,750,0.0006779169998480938
standard_NN,hidden,0.1,10.0,rms_displacement,0.0063973201285402286,0.0024056197405627434,0.6426071729141682,750,0.0006779169998480938
physics_guided_NN,known,0.0,0.0,f1,0.12833348899070984,0.10028594535351935,0.9997012138441215,750,0.0010307499978807755
physics_guided_NN,known,0.0,0.0,f2,0.514524524455864,0.4016577196950666,0.999699826295553,750,0.0010307499978807755
physics_guided_NN,known,0.0,0.0,f3,1.145903883376,0.8955919276816947,0.9997059021624506,750,0.0010307499978807755
physics_guided_NN,known,0.0,0.0,f4,2.017336631755366,1.5731969719172376,0.9997115986746878,750,0.0010307499978807755
physics_guided_NN,known,0.0,0.0,peak_displacement,0.0031796675405256956,0.0008503384236501356,0.9799159696366784,750,0.0010307499978807755
physics_guided_NN,known,0.0,0.0,rms_displacement,0.0015334603987670293,0.00043709274956497924,0.9815155802815606,750,0.0010307499978807755
physics_guided_NN,known,0.01,1.0,f1,0.12986184680022061,0.10126436364008894,0.9996932714817021,750,0.0009745419993123505
physics_guided_NN,known,0.01,1.0,f2,0.5214085487627786,0.40415585952213995,0.999690951016712,750,0.0009745419993123505
physics_guided_NN,known,0.01,1.0,f3,1.1598019799382848,0.8964750922062067,0.9996979535888946,750,0.0009745419993123505
physics_guided_NN,known,0.01,1.0,f4,2.0469784736786636,1.5824113514053861,0.999702300851158,750,0.0009745419993123505
physics_guided_NN,known,0.01,1.0,peak_displacement,0.0031391571893722285,0.0008311326543131384,0.9799514589089441,750,0.0009745419993123505
physics_guided_NN,known,0.01,1.0,rms_displacement,0.0015199490500567596,0.00042494814297685906,0.9816640559992327,750,0.0009745419993123505
physics_guided_NN,known,0.025,2.5,f1,0.13395567524752128,0.10366655778293023,0.9996725277649852,750,0.0009586669984855689
physics_guided_NN,known,0.025,2.5,f2,0.5384270713422675,0.414263978079947,0.9996693366659807,750,0.0009586669984855689
physics_guided_NN,known,0.025,2.5,f3,1.1959331863637024,0.9157486245815828,0.9996777588015491,750,0.0009586669984855689
physics_guided_NN,known,0.025,2.5,f4,2.1289147601268694,1.6286023064483182,0.99967690604781,750,0.0009586669984855689
physics_guided_NN,known,0.025,2.5,peak_displacement,0.0031706649862268048,0.000841318120091914,0.9788343882405642,750,0.0009586669984855689
physics_guided_NN,known,0.025,2.5,rms_displacement,0.0015610931493815182,0.0004191872431733499,0.9803492921293175,750,0.0009586669984855689
physics_guided_NN,known,0.05,5.0,f1,0.14446050465808377,0.11029824614726333,0.9996174973851519,750,0.0006843750015832484
physics_guided_NN,known,0.05,5.0,f2,0.5793055443584109,0.4419870441028456,0.99961555736931,750,0.0006843750015832484
physics_guided_NN,known,0.05,5.0,f3,1.2838412360468936,0.9775565861337122,0.9996270301071921,750,0.0006843750015832484
physics_guided_NN,known,0.05,5.0,f4,2.3188839932311827,1.753891456255058,0.9996150057589123,750,0.0006843750015832484
physics_guided_NN,known,0.05,5.0,peak_displacement,0.003203230136521118,0.0008583657494473618,0.9770739523985471,750,0.0006843750015832484
physics_guided_NN,known,0.05,5.0,rms_displacement,0.0016649652815739517,0.00043446726527770265,0.9769889758063867,750,0.0006843750015832484
physics_guided_NN,known,0.1,10.0,f1,0.20493878508759922,0.14853092933878637,0.9992272339056324,750,0.0006756670009053778
physics_guided_NN,known,0.1,10.0,f2,0.8056932793182789,0.5875556512749539,0.9992535181657127,750,0.0006756670009053778
physics_guided_NN,known,0.1,10.0,f3,1.7842232566084033,1.295374748303227,0.9992768754313935,750,0.0006756670009053778
physics_guided_NN,known,0.1,10.0,f4,3.24937418701753,2.349451453095129,0.9992411442465663,750,0.0006756670009053778
physics_guided_NN,known,0.1,10.0,peak_displacement,0.004189666412257844,0.0011425951013679346,0.9568281377301525,750,0.0006756670009053778
physics_guided_NN,known,0.1,10.0,rms_displacement,0.0023020555558517547,0.0005950496890556579,0.9537212878409028,750,0.0006756670009053778
physics_guided_NN,hidden,0.0,0.0,f1,0.12833348899070984,0.10028594535351935,0.9997012138441215,750,0.000726416998077184
physics_guided_NN,hidden,0.0,0.0,f2,0.514524524455864,0.4016577196950666,0.999699826295553,750,0.000726416998077184
physics_guided_NN,hidden,0.0,0.0,f3,1.145903883376,0.8955919276816947,0.9997059021624506,750,0.000726416998077184
physics_guided_NN,hidden,0.0,0.0,f4,2.017336631755366,1.5731969719172376,0.9997115986746878,750,0.000726416998077184
physics_guided_NN,hidden,0.0,0.0,peak_displacement,0.0031796675405256956,0.0008503384236501356,0.9799159696366784,750,0.000726416998077184
physics_guided_NN,hidden,0.0,0.0,rms_displacement,0.0015334603987670293,0.00043709274956497924,0.9815155802815606,750,0.000726416998077184
physics_guided_NN,hidden,0.01,1.0,f1,0.15616419777177593,0.11924563782768284,0.9995564383849029,750,0.0009810830015339889
physics_guided_NN,hidden,0.01,1.0,f2,0.6268900634671308,0.4765099181950484,0.9995532610731273,750,0.0009810830015339889
physics_guided_NN,hidden,0.01,1.0,f3,1.4065280015031674,1.0661940428555106,0.9995557752481079,750,0.0009810830015339889
physics_guided_NN,hidden,0.01,1.0,f4,2.4565046083915965,1.8657445858128496,0.9995712676956513,750,0.0009810830015339889
physics_guided_NN,hidden,0.01,1.0,peak_displacement,0.002946056175436918,0.0008534876437981903,0.9823421144970939,750,0.0009810830015339889
physics_guided_NN,hidden,0.01,1.0,rms_displacement,0.001472979357065537,0.0004431555918653173,0.9827797863912002,750,0.0009810830015339889
physics_guided_NN,hidden,0.025,2.5,f1,0.2454423654534059,0.17783180624548964,0.9989006112116735,750,0.0009517920007056091
physics_guided_NN,hidden,0.025,2.5,f2,0.984359730098699,0.7069545068569596,0.9988948023763471,750,0.0009517920007056091
physics_guided_NN,hidden,0.025,2.5,f3,2.217718633885618,1.5906371692688555,0.9988918970264464,750,0.0009517920007056091
physics_guided_NN,hidden,0.025,2.5,f4,3.888381758610793,2.790674943875792,0.9989221704729012,750,0.0009517920007056091
physics_guided_NN,hidden,0.025,2.5,peak_displacement,0.0029837283425374586,0.0009598338360803956,0.981256587136397,750,0.0009517920007056091
physics_guided_NN,hidden,0.025,2.5,rms_displacement,0.0014974722798398311,0.0004866215209352032,0.981918346307236,750,0.0009517920007056091
physics_guided_NN,hidden,0.05,5.0,f1,0.4288879998239654,0.2975435740094568,0.996628493953004,750,0.0007172920013545081
physics_guided_NN,hidden,0.05,5.0,f2,1.7181036547999518,1.1863984536226304,0.9966184571603953,750,0.0007172920013545081
physics_guided_NN,hidden,0.05,5.0,f3,3.8726573610762594,2.6776079067406506,0.9966063325586766,750,0.0007172920013545081
physics_guided_NN,hidden,0.05,5.0,f4,6.828623194639802,4.720202999580813,0.9966614146334081,750,0.0007172920013545081
physics_guided_NN,hidden,0.05,5.0,peak_displacement,0.003890991785872697,0.00131430415362414,0.9661722171322632,750,0.0007172920013545081
physics_guided_NN,hidden,0.05,5.0,rms_displacement,0.0018090719724810922,0.0006358814000825793,0.9728332756726553,750,0.0007172920013545081
physics_guided_NN,hidden,0.1,10.0,f1,0.8197555839263136,0.556408723760204,0.9876357291093211,750,0.0009477079984208103
physics_guided_NN,hidden,0.1,10.0,f2,3.2813806860675103,2.224722165718376,0.9876179373617998,750,0.0009477079984208103
physics_guided_NN,hidden,0.1,10.0,f3,7.392381238685082,5.016384791268433,0.9875868090053637,750,0.0009477079984208103
physics_guided_NN,hidden,0.1,10.0,f4,13.08634352547517,8.873974869224059,0.9876917470710782,750,0.0009477079984208103
physics_guided_NN,hidden,0.1,10.0,peak_displacement,0.006627476329731473,0.002052648026378894,0.8919715205587111,750,0.0009477079984208103
physics_guided_NN,hidden,0.1,10.0,rms_displacement,0.00293691343294518,0.0009924812217234854,0.9246762461257705,750,0.0009477079984208103
