model,frequency_ratio,distance_from_resonance,test_region,output,negative_prediction_count,number_of_test_samples,negative_prediction_percent
standard_NN,0.5,0.5,seen_off_resonance,peak_displacement,74,750,9.866666666666667
standard_NN,0.5,0.5,seen_off_resonance,rms_displacement,40,750,5.333333333333333
standard_NN,0.8,0.19999999999999996,seen_off_resonance,peak_displacement,62,750,8.266666666666667
standard_NN,0.8,0.19999999999999996,seen_off_resonance,rms_displacement,25,750,3.3333333333333335
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,peak_displacement,64,750,8.533333333333333
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,rms_displacement,25,750,3.3333333333333335
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,peak_displacement,63,750,8.4
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,rms_displacement,27,750,3.6
standard_NN,1.0,0.0,unseen_near_resonance,peak_displacement,64,750,8.533333333333333
standard_NN,1.0,0.0,unseen_near_resonance,rms_displacement,26,750,3.466666666666667
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,peak_displacement,66,750,8.8
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,rms_displacement,25,750,3.3333333333333335
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,peak_displacement,66,750,8.8
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,rms_displacement,27,750,3.6
standard_NN,1.2,0.19999999999999996,seen_off_resonance,peak_displacement,70,750,9.333333333333334
standard_NN,1.2,0.19999999999999996,seen_off_resonance,rms_displacement,28,750,3.7333333333333334
standard_NN,1.5,0.5,seen_off_resonance,peak_displacement,93,750,12.4
standard_NN,1.5,0.5,seen_off_resonance,rms_displacement,52,750,6.933333333333334
physics_guided_NN,0.5,0.5,seen_off_resonance,peak_displacement,262,750,34.93333333333333
physics_guided_NN,0.5,0.5,seen_off_resonance,rms_displacement,241,750,32.13333333333333
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,peak_displacement,185,750,24.666666666666668
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,rms_displacement,185,750,24.666666666666668
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,peak_displacement,154,750,20.533333333333335
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,rms_displacement,163,750,21.733333333333334
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,peak_displacement,140,750,18.666666666666668
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,rms_displacement,153,750,20.4
physics_guided_NN,1.0,0.0,unseen_near_resonance,peak_displacement,125,750,16.666666666666668
physics_guided_NN,1.0,0.0,unseen_near_resonance,rms_displacement,139,750,18.533333333333335
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,peak_displacement,143,750,19.066666666666666
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,rms_displacement,154,750,20.533333333333335
physics_guided_NN,1.1,0.10000000000000009,unseen_near_resonance,peak_displacement,154,750,20.533333333333335
physics_guided_NN,1.1,0.10000000000000009,unseen_near_resonance,rms_displacement,164,750,21.866666666666667
physics_guided_NN,1.2,0.19999999999999996,seen_off_resonance,peak_displacement,175,750,23.333333333333332
physics_guided_NN,1.2,0.19999999999999996,seen_off_resonance,rms_displacement,180,750,24.0
physics_guided_NN,1.5,0.5,seen_off_resonance,peak_displacement,241,750,32.13333333333333
physics_guided_NN,1.5,0.5,seen_off_resonance,rms_displacement,257,750,34.266666666666666
