model,training_percentage,training_samples,repeat,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
standard_NN,5,175,1,f1,1.5075453683192557,0.9392509403040075,0.9587692486401245,750,0.0005857079959241673
standard_NN,5,175,1,f2,6.0746346124021295,3.885138673223908,0.9581591204166867,750,0.0005857079959241673
standard_NN,5,175,1,f3,13.180149357164634,8.503061339960652,0.9610922504012466,750,0.0005857079959241673
standard_NN,5,175,1,f4,23.217685922786135,14.371802944062557,0.9617986802961541,750,0.0005857079959241673
standard_NN,5,175,1,peak_displacement,0.018503167995464948,0.007283887840326784,0.31988927065382544,750,0.0005857079959241673
standard_NN,5,175,1,rms_displacement,0.009323439213739845,0.0037111903984588437,0.3166975484979839,750,0.0005857079959241673
physics_guided_NN,5,175,1,f1,0.5260882906837708,0.38561857209110084,0.9949789130856975,750,0.0006117919983807951
physics_guided_NN,5,175,1,f2,2.1885331935075683,1.6190129758717364,0.9945691630907166,750,0.0006117919983807951
physics_guided_NN,5,175,1,f3,4.856522843938717,3.5684298174686084,0.9947174171074707,750,0.0006117919983807951
physics_guided_NN,5,175,1,f4,8.235016597934015,6.04276721787922,0.9951941583155338,750,0.0006117919983807951
physics_guided_NN,5,175,1,peak_displacement,0.013490940806455586,0.004384784193247376,0.6384470445508026,750,0.0006117919983807951
physics_guided_NN,5,175,1,rms_displacement,0.006791903340257168,0.0021999729846803985,0.6373867372143476,750,0.0006117919983807951
standard_NN,5,175,2,f1,1.5670811281311852,0.9753867546916732,0.9554483873657016,750,0.0006462089950218797
standard_NN,5,175,2,f2,6.192138199354413,3.773025248557687,0.9565247822188355,750,0.0006462089950218797
standard_NN,5,175,2,f3,13.19662753597039,8.462910503108231,0.9609949025464172,750,0.0006462089950218797
standard_NN,5,175,2,f4,23.696005426306066,14.654197696269696,0.9602084566821009,750,0.0006462089950218797
standard_NN,5,175,2,peak_displacement,0.016653448340528947,0.007042126298185432,0.4490708004747369,750,0.0006462089950218797
standard_NN,5,175,2,rms_displacement,0.008273525447524799,0.0035097993277489526,0.4619261259870112,750,0.0006462089950218797
physics_guided_NN,5,175,2,f1,0.4765018158803914,0.34771816216543555,0.9958808312155814,750,0.0005622080061584711
physics_guided_NN,5,175,2,f2,1.997742579262253,1.4564191797274615,0.9954747816736965,750,0.0005622080061584711
physics_guided_NN,5,175,2,f3,4.49111861180011,3.2623329747090355,0.9954824340753905,750,0.0005622080061584711
physics_guided_NN,5,175,2,f4,7.911702929257949,5.861660062386145,0.9955641132884665,750,0.0005622080061584711
physics_guided_NN,5,175,2,peak_displacement,0.011306626677686702,0.0037342531748515975,0.7460468827262164,750,0.0005622080061584711
physics_guided_NN,5,175,2,rms_displacement,0.005540586343770963,0.0019071382876076418,0.7586917633974086,750,0.0005622080061584711
standard_NN,5,175,3,f1,1.664043078721591,1.011434088760239,0.9497646308607054,750,0.000687708001350984
standard_NN,5,175,3,f2,6.749293565633682,4.117290220048831,0.9483491917320058,750,0.000687708001350984
standard_NN,5,175,3,f3,15.704254305662706,9.485355563203248,0.9447629994756533,750,0.000687708001350984
standard_NN,5,175,3,f4,26.48356994857717,15.984626110944212,0.9502957464095434,750,0.000687708001350984
standard_NN,5,175,3,peak_displacement,0.018164784538667725,0.006320013030683957,0.3445373580728721,750,0.000687708001350984
standard_NN,5,175,3,rms_displacement,0.009121913124464445,0.0033387403083942288,0.34591746187660166,750,0.000687708001350984
physics_guided_NN,5,175,3,f1,0.5200330756242817,0.334907315075034,0.9950938321582415,750,0.0006660829967586324
physics_guided_NN,5,175,3,f2,2.310194429196743,1.45951093778117,0.9939485764710333,750,0.0006660829967586324
physics_guided_NN,5,175,3,f3,4.82163522945813,3.1563235241993643,0.9947930410708453,750,0.0006660829967586324
physics_guided_NN,5,175,3,f4,9.259339390608671,6.071547055952641,0.9939242414281116,750,0.0006660829967586324
physics_guided_NN,5,175,3,peak_displacement,0.014529863230483952,0.004397406343829323,0.5806173157707994,750,0.0006660829967586324
physics_guided_NN,5,175,3,rms_displacement,0.0073250022966164655,0.002360519395463993,0.5782294792522583,750,0.0006660829967586324
standard_NN,10,350,1,f1,1.1740688310702474,0.7225990675020327,0.9749926550395237,750,0.0007102909876266494
standard_NN,10,350,1,f2,4.724737646486396,2.912240410471688,0.9746886166541651,750,0.0007102909876266494
standard_NN,10,350,1,f3,10.733026425873792,6.691636040790093,0.9741988035147892,750,0.0007102909876266494
standard_NN,10,350,1,f4,19.25015614623374,11.643209361886392,0.9737391356974378,750,0.0007102909876266494
standard_NN,10,350,1,peak_displacement,0.018194090151328706,0.0063158785614172794,0.34242070987635176,750,0.0007102909876266494
standard_NN,10,350,1,rms_displacement,0.0090885230171703,0.0033053512718137132,0.35069714222722026,750,0.0007102909876266494
physics_guided_NN,10,350,1,f1,0.36847415158315117,0.2686345026434851,0.9975368292268529,750,0.0006520000024465844
physics_guided_NN,10,350,1,f2,1.4781610655863495,1.0795901465727478,0.9975225551085497,750,0.0006520000024465844
physics_guided_NN,10,350,1,f3,3.3039014787699785,2.4409641713358194,0.9975551645992443,750,0.0006520000024465844
physics_guided_NN,10,350,1,f4,5.876678183446407,4.376195117057757,0.9975526035839126,750,0.0006520000024465844
physics_guided_NN,10,350,1,peak_displacement,0.012310521747980646,0.0033629828009041863,0.6989488005595679,750,0.0006520000024465844
physics_guided_NN,10,350,1,rms_displacement,0.0060865737788005575,0.001717089209723152,0.7087898735615994,750,0.0006520000024465844
standard_NN,10,350,2,f1,1.3169876305698054,0.7903626165231801,0.968533831811816,750,0.0007194580102805048
standard_NN,10,350,2,f2,5.252775295399123,3.1691507641129366,0.9687148579890139,750,0.0007194580102805048
standard_NN,10,350,2,f3,11.06292978182176,6.907531942765124,0.9725883132315685,750,0.0007194580102805048
standard_NN,10,350,2,f4,20.27239560893195,12.107492600861912,0.970876025118049,750,0.0007194580102805048
standard_NN,10,350,2,peak_displacement,0.016420853540537236,0.0066387541120495235,0.46435272778743497,750,0.0007194580102805048
standard_NN,10,350,2,rms_displacement,0.008264699018010153,0.003371376466453636,0.4630735782610842,750,0.0007194580102805048
physics_guided_NN,10,350,2,f1,0.3686418817688486,0.25637942175463596,0.9975345862357377,750,0.0005691670085070655
physics_guided_NN,10,350,2,f2,1.4917437673674996,1.0280101070873633,0.9974768158433255,750,0.0005691670085070655
physics_guided_NN,10,350,2,f3,3.434731963591849,2.445563547161232,0.9973577059178567,750,0.0005691670085070655
physics_guided_NN,10,350,2,f4,5.847544497781251,4.119831635335763,0.9975768094145894,750,0.0005691670085070655
physics_guided_NN,10,350,2,peak_displacement,0.009752847384455986,0.0032247792866597143,0.8110485195407581,750,0.0005691670085070655
physics_guided_NN,10,350,2,rms_displacement,0.0047903190206956955,0.0016367706127464589,0.8196195086386134,750,0.0005691670085070655
standard_NN,10,350,3,f1,1.3456650635620153,0.7294636625584314,0.9671485591491847,750,0.0005628329963656142
standard_NN,10,350,3,f2,5.358189456104207,2.8551237828245055,0.9674465804180509,750,0.0005628329963656142
standard_NN,10,350,3,f3,12.316069145232964,6.489071217253573,0.9660265473356373,750,0.0005628329963656142
standard_NN,10,350,3,f4,20.859836870949888,11.469460213083762,0.9691636960376473,750,0.0005628329963656142
standard_NN,10,350,3,peak_displacement,0.017251308934815822,0.0056772363775374505,0.4088039175945042,750,0.0005628329963656142
standard_NN,10,350,3,rms_displacement,0.008675819452665575,0.0029577731990380663,0.4083270664439732,750,0.0005628329963656142
physics_guided_NN,10,350,3,f1,0.32649326870093065,0.24102189970896098,0.998066122629816,750,0.0005840839876327664
