training_percentage,training_samples,output,standard_rmse_mean,physics_guided_rmse_mean,rmse_reduction_percent,standard_mae_mean,physics_guided_mae_mean,standard_r2_mean,physics_guided_r2_mean,r2_difference
5,175,f1,1.5795565250573438,0.5075410607294814,67.86812927058398,0.9753572612519733,0.35608134977719014,0.9546607556221772,0.9953178588198401,0.040657103197662914
5,175,f2,6.338688792463408,2.1654900673221884,65.83693981163866,3.925151380610142,1.5116476977934559,0.9543443647891761,0.9946641737451488,0.04031980895597276
5,175,f3,14.027010399599243,4.723092228398986,66.32858967200933,8.817109135424044,3.3290287721256693,0.955616717474439,0.9949976307512355,0.03938091327679649
5,175,f4,24.46575376588979,8.468686305933545,65.38554917633232,15.003542250425488,5.9919914454060015,0.9574342944625994,0.9948941710107041,0.037459876548104676
5,175,peak_displacement,0.017773800291553874,0.013109143571542081,26.24456584126492,0.006882009056398725,0.004172147903976099,0.3711658097338115,0.6550370810159395,0.28387127128212797
5,175,rms_displacement,0.00890629259524303,0.006552497326881532,26.428452054434988,0.003519910011534009,0.0021558768892506776,0.37484704545386566,0.6581026599546714,0.2832556145008058
10,350,f1,1.2789071750673562,0.3545364340176435,72.27817304262358,0.7474751155278815,0.2553452747023607,0.9702250153335082,0.9977125126974689,0.02748749736396061
10,350,f2,5.111900799329908,1.4384125349705112,71.86149357282001,2.978838319136377,1.0359287874229075,0.9702833516870766,0.9976490565980715,0.02736570491099488
10,350,f3,11.370675117642838,3.224361883550955,71.64317993266727,6.69607973360293,2.344887425434926,0.9709378880273317,0.9976614125991187,0.02672352457178695
10,350,f4,20.127462875371858,5.7157296058178515,71.60233437662096,11.740054058610689,4.168807847645737,0.9712596189510446,0.997681777823805,0.026422158872760337
10,350,peak_displacement,0.017288750875560588,0.01093040045925407,36.77738468251454,0.006210623017001417,0.003103635073125077,0.40519245175276364,0.7604596033918175,0.35526715163905387
10,350,rms_displacement,0.008676347162615342,0.0053070291583635874,38.83337009345911,0.003211500312435138,0.0016003500368661058,0.4073659289774259,0.7761342541176922,0.3687683251402663
25,875,f1,0.9974304676099276,0.26920496090220486,73.01015262274053,0.5931006804356461,0.20376927389212815,0.9815864106927283,0.998683291176823,0.017096880484094634
25,875,f2,3.960653079107431,1.0703361221558927,72.97576685516968,2.328798729869172,0.8143373617218702,0.981806375660213,0.9986991017302991,0.016892726070086073
25,875,f3,9.11034145630704,2.461000763211699,72.98673408659165,5.461585560696267,1.8574310367744786,0.9808541092157546,0.9986393897829354,0.017785280567180872
25,875,f4,15.669724314415895,4.373962998191742,72.08653508876499,9.388875709582189,3.299325395441413,0.982302226055873,0.9986384175110877,0.0163361914552147
25,875,peak_displacement,0.016198757911935948,0.006496065485094793,59.89775561552031,0.006015306468380495,0.001986265014419524,0.4784465922511267,0.9160943315217587,0.437647739270632
25,875,rms_displacement,0.008178198677660618,0.00315264209610963,61.45065410649273,0.003146636455037745,0.001032648431683528,0.4739820429605877,0.921463646323167,0.4474816033625793
50,1750,f1,0.7651379273867889,0.2006238026358086,73.77939382497894,0.4757293401781859,0.15393064378485335,0.9893741004034365,0.9992696898318915,0.00989558942845492
50,1750,f2,3.0833302799341147,0.7728854472436407,74.93342013103585,1.9414497463374953,0.5943613449748942,0.9891662324782761,0.9993217936048181,0.010155561126542034
50,1750,f3,6.879136892031499,1.7857725704857295,74.04074670247815,4.2451647707288656,1.358705275088725,0.9893516080256091,0.9992856957381543,0.009934087712545225
50,1750,f4,12.063886358813454,3.1161468457127857,74.16962699224833,7.661798742846504,2.383283319117391,0.9896444448268901,0.9993118440912183,0.009667399264328247
50,1750,peak_displacement,0.015682974225816174,0.004210708636502866,73.15108361543118,0.005496038621453202,0.0012573653142900793,0.5111618354297822,0.9640810347922396,0.4529191993624574
50,1750,rms_displacement,0.007886832658345872,0.002091005812337104,73.48738203384607,0.0028835304290389303,0.0006488695089872169,0.5108317654119985,0.9650685769472908,0.4542368115352923
75,2625,f1,0.6335257720722296,0.21395402928397733,66.22804647960179,0.40012539566020083,0.1636922172549782,0.992513658829028,0.9991265546195186,0.006612895790490625
75,2625,f2,2.538112326503523,0.832293311663357,67.20817660540992,1.571138780126865,0.6379302612805967,0.9924470379974384,0.9991697305596396,0.00672269256220126
75,2625,f3,5.65356821816028,1.9358337078064078,65.75908111291271,3.5274546031141725,1.4678775704020302,0.992594213922375,0.9991283407834318,0.00653412686105681
75,2625,f4,9.974825526110939,3.459353700798566,65.31915579131612,6.308266959217722,2.632766883671827,0.9927035424463729,0.9991034920798844,0.006399949633511426
75,2625,peak_displacement,0.01618416237469006,0.003540428851028246,78.12411437143624,0.005549689959912143,0.0010920077851848903,0.4784872126523596,0.9747856713613025,0.49629845870894285
75,2625,rms_displacement,0.008114936253594536,0.0018171419775065987,77.60743990192542,0.002870687315822669,0.000594706284450754,0.4811841449509502,0.9738227877247646,0.4926386427738144
100,3500,f1,0.5157500868775406,0.14639893286308966,71.61436583570551,0.3357258554753142,0.11259722085729239,0.9950532986072034,0.9996030756572972,0.004549777050093851
100,3500,f2,2.0709508943301866,0.6060030332232543,70.73793324205036,1.3405556241265357,0.46299489904715235,0.9949853115687711,0.9995768630386181,0.004591551469847022
100,3500,f3,4.603229229399855,1.3707817090374792,70.22130246561294,2.9806617282075685,1.0512515733936387,0.9951096722823328,0.9995740160354273,0.004464343753094457
100,3500,f4,8.221795928277944,2.407917355944505,70.7130002137034,5.4593317720306755,1.877237643843413,0.9950561932668172,0.9995815673152116,0.0045253740483944815
