model,training_percentage,training_samples,repeat,output,negative_prediction_count,number_of_test_samples,negative_prediction_percent
standard_NN,5,175,1,peak_displacement,175,750,23.333333333333332
standard_NN,5,175,1,rms_displacement,205,750,27.333333333333332
physics_guided_NN,5,175,1,peak_displacement,181,750,24.133333333333333
physics_guided_NN,5,175,1,rms_displacement,189,750,25.2
standard_NN,5,175,2,peak_displacement,224,750,29.866666666666667
standard_NN,5,175,2,rms_displacement,208,750,27.733333333333334
physics_guided_NN,5,175,2,peak_displacement,117,750,15.6
physics_guided_NN,5,175,2,rms_displacement,151,750,20.133333333333333
standard_NN,5,175,3,peak_displacement,133,750,17.733333333333334
standard_NN,5,175,3,rms_displacement,146,750,19.466666666666665
physics_guided_NN,5,175,3,peak_displacement,159,750,21.2
physics_guided_NN,5,175,3,rms_displacement,161,750,21.466666666666665
standard_NN,10,350,1,peak_displacement,206,750,27.466666666666665
standard_NN,10,350,1,rms_displacement,224,750,29.866666666666667
physics_guided_NN,10,350,1,peak_displacement,89,750,11.866666666666667
physics_guided_NN,10,350,1,rms_displacement,118,750,15.733333333333333
standard_NN,10,350,2,peak_displacement,170,750,22.666666666666668
standard_NN,10,350,2,rms_displacement,162,750,21.6
physics_guided_NN,10,350,2,peak_displacement,156,750,20.8
physics_guided_NN,10,350,2,rms_displacement,187,750,24.933333333333334
standard_NN,10,350,3,peak_displacement,106,750,14.133333333333333
standard_NN,10,350,3,rms_displacement,110,750,14.666666666666666
physics_guided_NN,10,350,3,peak_displacement,163,750,21.733333333333334
physics_guided_NN,10,350,3,rms_displacement,196,750,26.133333333333333
standard_NN,25,875,1,peak_displacement,79,750,10.533333333333333
standard_NN,25,875,1,rms_displacement,83,750,11.066666666666666
physics_guided_NN,25,875,1,peak_displacement,134,750,17.866666666666667
physics_guided_NN,25,875,1,rms_displacement,144,750,19.2
standard_NN,25,875,2,peak_displacement,202,750,26.933333333333334
standard_NN,25,875,2,rms_displacement,192,750,25.6
physics_guided_NN,25,875,2,peak_displacement,28,750,3.7333333333333334
physics_guided_NN,25,875,2,rms_displacement,18,750,2.4
standard_NN,25,875,3,peak_displacement,125,750,16.666666666666668
standard_NN,25,875,3,rms_displacement,124,750,16.533333333333335
physics_guided_NN,25,875,3,peak_displacement,159,750,21.2
physics_guided_NN,25,875,3,rms_displacement,141,750,18.8
standard_NN,50,1750,1,peak_displacement,168,750,22.4
standard_NN,50,1750,1,rms_displacement,193,750,25.733333333333334
physics_guided_NN,50,1750,1,peak_displacement,179,750,23.866666666666667
physics_guided_NN,50,1750,1,rms_displacement,130,750,17.333333333333332
standard_NN,50,1750,2,peak_displacement,151,750,20.133333333333333
standard_NN,50,1750,2,rms_displacement,83,750,11.066666666666666
physics_guided_NN,50,1750,2,peak_displacement,152,750,20.266666666666666
physics_guided_NN,50,1750,2,rms_displacement,149,750,19.866666666666667
standard_NN,50,1750,3,peak_displacement,79,750,10.533333333333333
standard_NN,50,1750,3,rms_displacement,55,750,7.333333333333333
physics_guided_NN,50,1750,3,peak_displacement,228,750,30.4
physics_guided_NN,50,1750,3,rms_displacement,203,750,27.066666666666666
standard_NN,75,2625,1,peak_displacement,61,750,8.133333333333333
standard_NN,75,2625,1,rms_displacement,60,750,8.0
physics_guided_NN,75,2625,1,peak_displacement,56,750,7.466666666666667
physics_guided_NN,75,2625,1,rms_displacement,95,750,12.666666666666666
standard_NN,75,2625,2,peak_displacement,103,750,13.733333333333333
standard_NN,75,2625,2,rms_displacement,168,750,22.4
physics_guided_NN,75,2625,2,peak_displacement,130,750,17.333333333333332
physics_guided_NN,75,2625,2,rms_displacement,109,750,14.533333333333333
standard_NN,75,2625,3,peak_displacement,192,750,25.6
standard_NN,75,2625,3,rms_displacement,194,750,25.866666666666667
physics_guided_NN,75,2625,3,peak_displacement,89,750,11.866666666666667
physics_guided_NN,75,2625,3,rms_displacement,175,750,23.333333333333332
standard_NN,100,3500,1,peak_displacement,20,750,2.6666666666666665
standard_NN,100,3500,1,rms_displacement,37,750,4.933333333333334
physics_guided_NN,100,3500,1,peak_displacement,11,750,1.4666666666666666
physics_guided_NN,100,3500,1,rms_displacement,22,750,2.933333333333333
standard_NN,100,3500,2,peak_displacement,63,750,8.4
standard_NN,100,3500,2,rms_displacement,56,750,7.466666666666667
physics_guided_NN,100,3500,2,peak_displacement,183,750,24.4
physics_guided_NN,100,3500,2,rms_displacement,109,750,14.533333333333333
standard_NN,100,3500,3,peak_displacement,30,750,4.0
standard_NN,100,3500,3,rms_displacement,26,750,3.466666666666667
physics_guided_NN,100,3500,3,peak_displacement,114,750,15.2
physics_guided_NN,100,3500,3,rms_displacement,210,750,28.0
