model,training_percentage,training_samples,output,negative_prediction_percent_mean,negative_prediction_percent_std,repeats
physics_guided_NN,5,175,peak_displacement,20.31111111111111,4.335554986047004,3
physics_guided_NN,5,175,rms_displacement,22.266666666666666,2.6263620804789602,3
physics_guided_NN,10,350,peak_displacement,18.133333333333336,5.447119524217464,3
physics_guided_NN,10,350,rms_displacement,22.266666666666666,5.689756878227166,3
physics_guided_NN,25,875,peak_displacement,14.266666666666666,9.273139226341375,3
physics_guided_NN,25,875,rms_displacement,13.466666666666667,9.586101049609969,3
physics_guided_NN,50,1750,peak_displacement,24.844444444444445,5.1369395702254605,3
physics_guided_NN,50,1750,rms_displacement,21.42222222222222,5.049679124385949,3
physics_guided_NN,75,2625,peak_displacement,12.222222222222223,4.942933601879818,3
physics_guided_NN,75,2625,rms_displacement,16.844444444444445,5.696522656004307,3
physics_guided_NN,100,3500,peak_displacement,13.688888888888888,11.541102072030947,3
physics_guided_NN,100,3500,rms_displacement,15.155555555555557,12.544911909408324,3
standard_NN,5,175,peak_displacement,23.644444444444446,6.0726466254045315,3
standard_NN,5,175,rms_displacement,24.844444444444445,4.661584534294145,3
standard_NN,10,350,peak_displacement,21.42222222222222,6.7532159691458045,3
standard_NN,10,350,rms_displacement,22.044444444444448,7.6097403469598195,3
standard_NN,25,875,peak_displacement,18.044444444444444,8.286356479400563,3
standard_NN,25,875,rms_displacement,17.733333333333334,7.340602457867095,3
standard_NN,50,1750,peak_displacement,17.688888888888886,6.299676652489866,3
standard_NN,50,1750,rms_displacement,14.71111111111111,9.7263292912322,3
standard_NN,75,2625,peak_displacement,15.822222222222223,8.918727695344426,3
standard_NN,75,2625,rms_displacement,18.755555555555556,9.474488161685882,3
standard_NN,100,3500,peak_displacement,5.022222222222222,3.000246903420031,3
standard_NN,100,3500,rms_displacement,5.288888888888889,2.0235648778368374,3
