model,number_of_inputs,training_percentage,training_samples,validation_samples,test_samples,repeat,random_seed,epochs_completed,best_epoch,best_validation_loss,training_time_seconds
standard_NN,8,5,175,750,750,1,42,115,65,0.24062515795230865,0.9990626249928027
physics_guided_NN,13,5,175,750,750,1,42,500,499,0.12653307616710663,3.8839379169949098
standard_NN,8,5,175,750,750,2,43,120,70,0.2733307182788849,0.9742331669986015
physics_guided_NN,13,5,175,750,750,2,43,500,499,0.13436520099639893,3.824464290999458
standard_NN,8,5,175,750,750,3,44,113,63,0.5821440815925598,0.8756351659976644
physics_guided_NN,13,5,175,750,750,3,44,256,206,0.3613155782222748,1.9367351670080097
standard_NN,8,10,350,750,750,1,42,114,64,0.26514944434165955,1.5556212910014438
physics_guided_NN,13,10,350,750,750,1,42,499,449,0.11666951328516006,6.897272583999438
standard_NN,8,10,350,750,750,2,43,93,43,0.20228052139282227,1.266066124997451
physics_guided_NN,13,10,350,750,750,2,43,337,287,0.055924393236637115,4.669211208994966
standard_NN,8,10,350,750,750,3,44,122,72,0.4559013247489929,1.657409249994089
physics_guided_NN,13,10,350,750,750,3,44,408,358,0.2200571894645691,5.5071232499904
standard_NN,8,25,875,750,750,1,42,109,59,0.19119782745838165,3.3734726670081727
physics_guided_NN,13,25,875,750,750,1,42,434,384,0.034183990210294724,13.505416375002824
standard_NN,8,25,875,750,750,2,43,75,25,0.15545018017292023,2.3404387920018053
physics_guided_NN,13,25,875,750,750,2,43,257,207,0.03320365026593208,7.978543417004403
standard_NN,8,25,875,750,750,3,44,72,22,0.18832352757453918,2.2902655840007355
physics_guided_NN,13,25,875,750,750,3,44,310,260,0.0435507595539093,10.513684417004697
standard_NN,8,50,1750,750,750,1,42,79,29,0.16763736307621002,5.08794399999897
physics_guided_NN,13,50,1750,750,750,1,42,460,410,0.011305700987577438,27.772934749998967
standard_NN,8,50,1750,750,750,2,43,79,29,0.1648930460214615,4.8234638330031885
physics_guided_NN,13,50,1750,750,750,2,43,207,157,0.020604774355888367,12.567338124994421
standard_NN,8,50,1750,750,750,3,44,75,25,0.15939882397651672,4.581391832994996
physics_guided_NN,13,50,1750,750,750,3,44,197,147,0.006618521176278591,11.92976375001308
standard_NN,8,75,2625,750,750,1,42,139,89,0.14265909790992737,12.575681750007789
physics_guided_NN,13,75,2625,750,750,1,42,264,214,0.008528229780495167,23.85991166700842
standard_NN,8,75,2625,750,750,2,43,86,36,0.1125742644071579,7.730041125003481
physics_guided_NN,13,75,2625,750,750,2,43,166,116,0.009362304583191872,14.985564999995404
standard_NN,8,75,2625,750,750,3,44,71,21,0.14959433674812317,6.447896124998806
physics_guided_NN,13,75,2625,750,750,3,44,133,83,0.007962966337800026,12.027458459007903
standard_NN,8,100,3500,750,750,1,42,99,49,0.12623204290866852,11.772880666991114
physics_guided_NN,13,100,3500,750,750,1,42,294,244,0.006327018607407808,36.447210833008285
standard_NN,8,100,3500,750,750,2,43,114,64,0.1307833343744278,13.530571541996324
physics_guided_NN,13,100,3500,750,750,2,43,138,88,0.009142370894551277,16.447585375004564
standard_NN,8,100,3500,750,750,3,44,66,16,0.14037838578224182,7.85935333299858
physics_guided_NN,13,100,3500,750,750,3,44,126,76,0.00512580294162035,14.853857167006936
