model,training_percentage,training_samples,training_time_mean_seconds,training_time_std_seconds,best_validation_loss_mean,best_validation_loss_std,best_epoch_mean,epochs_completed_mean,repeats
physics_guided_NN,5,175,3.215045791667459,1.1074487879288981,0.2074046184619268,0.13334831530843952,401.3333333333333,418.6666666666667,3
physics_guided_NN,10,350,5.691202347661601,1.1253791398219035,0.1308836986621221,0.08298449252027719,364.6666666666667,414.6666666666667,3
physics_guided_NN,25,875,10.665881403003974,2.766578051560086,0.036979466676712036,0.005711977254861566,283.6666666666667,333.6666666666667,3
physics_guided_NN,50,1750,17.423345541668823,8.968674531768674,0.012842998839914799,0.007118727626207996,238.0,288.0,3
physics_guided_NN,75,2625,16.957645042003907,6.1578049659717715,0.008617833567162355,0.0007039591679869699,137.66666666666666,187.66666666666666,3
physics_guided_NN,100,3500,22.58288445833993,12.033272695644161,0.006865064147859812,0.0020616314614470142,136.0,186.0,3
standard_NN,5,175,0.9496436526630229,0.06528451248147492,0.3653666526079178,0.1884456253325146,66.0,116.0,3
standard_NN,10,350,1.4930322219976613,0.20304040001833065,0.3077770968278249,0.1320746589665039,59.666666666666664,109.66666666666667,3
standard_NN,25,875,2.6680590143369045,0.6114210118498915,0.17832384506861368,0.019861238865587508,35.333333333333336,85.33333333333333,3
standard_NN,50,1750,4.830933221999051,0.2533586752078645,0.1639764110247294,0.004195062146407285,27.666666666666668,77.66666666666667,3
standard_NN,75,2625,8.91787300000336,3.2319727085738172,0.1349425663550695,0.019679433006578557,48.666666666666664,98.66666666666667,3
standard_NN,100,3500,11.05426851399534,2.9030986141262596,0.13246458768844604,0.007221475867410869,43.0,93.0,3
