model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
physics_guided_NN,75,2625,1,1,0.7525695360132626,0.3596116602420807
physics_guided_NN,75,2625,1,2,0.2581303593746963,0.21900343894958496
physics_guided_NN,75,2625,1,3,0.1862783039077407,0.16863396763801575
physics_guided_NN,75,2625,1,4,0.1564151727971399,0.14745958149433136
physics_guided_NN,75,2625,1,5,0.1283148925064043,0.12131471186876297
physics_guided_NN,75,2625,1,6,0.11080867457868797,0.1052827313542366
physics_guided_NN,75,2625,1,7,0.095640294564267,0.09133297204971313
physics_guided_NN,75,2625,1,8,0.08412892940188092,0.0856340304017067
physics_guided_NN,75,2625,1,9,0.07655486369982273,0.0862775444984436
physics_guided_NN,75,2625,1,10,0.082235143264933,0.07099062949419022
physics_guided_NN,75,2625,1,11,0.08268629298323676,0.0707840546965599
physics_guided_NN,75,2625,1,12,0.059109386056661606,0.06550627946853638
physics_guided_NN,75,2625,1,13,0.05051267932243978,0.06357821822166443
physics_guided_NN,75,2625,1,14,0.05127399728544766,0.0669427216053009
physics_guided_NN,75,2625,1,15,0.054349668529106394,0.05948537960648537
physics_guided_NN,75,2625,1,16,0.04483758333870875,0.06081469729542732
physics_guided_NN,75,2625,1,17,0.03831949531810269,0.05512719973921776
physics_guided_NN,75,2625,1,18,0.03725247891963504,0.048818718641996384
physics_guided_NN,75,2625,1,19,0.035090840477052895,0.053125347942113876
physics_guided_NN,75,2625,1,20,0.029461266872073923,0.04508179426193237
physics_guided_NN,75,2625,1,21,0.027304956401210456,0.044310636818408966
physics_guided_NN,75,2625,1,22,0.024893881270794997,0.05495857447385788
physics_guided_NN,75,2625,1,23,0.025008697822202174,0.04354819282889366
physics_guided_NN,75,2625,1,24,0.025097425816403257,0.04458234831690788
physics_guided_NN,75,2625,1,25,0.0377006961720153,0.06858474016189575
physics_guided_NN,75,2625,1,26,0.11998066479074103,0.07067026197910309
physics_guided_NN,75,2625,1,27,0.029270423044051443,0.04049820452928543
physics_guided_NN,75,2625,1,28,0.021683941744933172,0.042861152440309525
physics_guided_NN,75,2625,1,29,0.020205449759184074,0.03828508034348488
physics_guided_NN,75,2625,1,30,0.018110256012906098,0.03573164343833923
physics_guided_NN,75,2625,1,31,0.01601190776896796,0.03535812348127365
physics_guided_NN,75,2625,1,32,0.01977116436076661,0.03580404818058014
physics_guided_NN,75,2625,1,33,0.014738684303925506,0.03294673562049866
physics_guided_NN,75,2625,1,34,0.014159388421657718,0.03152760490775108
physics_guided_NN,75,2625,1,35,0.012669790507061407,0.030903607606887817
physics_guided_NN,75,2625,1,36,0.01216531286038281,0.029481707140803337
physics_guided_NN,75,2625,1,37,0.01136684917201776,0.027300899848341942
physics_guided_NN,75,2625,1,38,0.011913500826007553,0.027371561154723167
physics_guided_NN,75,2625,1,39,0.011326341989583202,0.03056894987821579
physics_guided_NN,75,2625,1,40,0.011814386522885235,0.025579512119293213
physics_guided_NN,75,2625,1,41,0.010521204443648458,0.024548614397644997
physics_guided_NN,75,2625,1,42,0.009184603812173009,0.023863716050982475
physics_guided_NN,75,2625,1,43,0.008298903160418073,0.024369290098547935
physics_guided_NN,75,2625,1,44,0.00836117089992123,0.026232387870550156
physics_guided_NN,75,2625,1,45,0.008941327787137457,0.02433534897863865
physics_guided_NN,75,2625,1,46,0.008775942848019656,0.024135474115610123
physics_guided_NN,75,2625,1,47,0.008567825231390694,0.023724574595689774
physics_guided_NN,75,2625,1,48,0.007007821812294424,0.02232627011835575
physics_guided_NN,75,2625,1,49,0.0068127545278652436,0.020488016307353973
physics_guided_NN,75,2625,1,50,0.006322188460866788,0.02144951932132244
physics_guided_NN,75,2625,1,51,0.0069116022731621,0.02065318264067173
physics_guided_NN,75,2625,1,52,0.008123709299113779,0.03039519675076008
physics_guided_NN,75,2625,1,53,0.017864275016195495,0.025647113099694252
physics_guided_NN,75,2625,1,54,0.007848916863579126,0.022107133641839027
physics_guided_NN,75,2625,1,55,0.005742443633997547,0.018993284553289413
physics_guided_NN,75,2625,1,56,0.005933539046617668,0.0206479262560606
physics_guided_NN,75,2625,1,57,0.005711042901523234,0.02143542654812336
physics_guided_NN,75,2625,1,58,0.0059031926215365755,0.01999291405081749
physics_guided_NN,75,2625,1,59,0.004526306231994005,0.018842065706849098
physics_guided_NN,75,2625,1,60,0.00436545227282858,0.02158360183238983
physics_guided_NN,75,2625,1,61,0.0047198076998548845,0.017515072599053383
physics_guided_NN,75,2625,1,62,0.0047295103542551046,0.02039412409067154
physics_guided_NN,75,2625,1,63,0.004493915836238081,0.0217429306358099
physics_guided_NN,75,2625,1,64,0.00444844674452075,0.0163064356893301
physics_guided_NN,75,2625,1,65,0.004221315986970218,0.018612345680594444
physics_guided_NN,75,2625,1,66,0.003887983910750509,0.017014607787132263
