model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
standard_NN,50,1750,1,1,0.8841959152902875,0.6635527610778809
standard_NN,50,1750,1,2,0.4492203792823212,0.36779943108558655
standard_NN,50,1750,1,3,0.3041704407493983,0.301097571849823
standard_NN,50,1750,1,4,0.2587071755634887,0.2675786018371582
standard_NN,50,1750,1,5,0.23778597012694394,0.25285154581069946
standard_NN,50,1750,1,6,0.22320652473717928,0.2368234246969223
standard_NN,50,1750,1,7,0.20880718954971858,0.22265346348285675
standard_NN,50,1750,1,8,0.19758757948875427,0.21900877356529236
standard_NN,50,1750,1,9,0.19044056148933514,0.20690110325813293
standard_NN,50,1750,1,10,0.18003428195204055,0.19907598197460175
standard_NN,50,1750,1,11,0.17136334468211448,0.19092044234275818
standard_NN,50,1750,1,12,0.17396524788013526,0.18645140528678894
standard_NN,50,1750,1,13,0.16609655959265573,0.18415164947509766
standard_NN,50,1750,1,14,0.1657715075250183,0.18218646943569183
standard_NN,50,1750,1,15,0.15780472708866,0.1784900277853012
standard_NN,50,1750,1,16,0.15345951901482685,0.175316721200943
standard_NN,50,1750,1,17,0.15444373519026808,0.17895372211933136
standard_NN,50,1750,1,18,0.15205652027257852,0.1777266263961792
standard_NN,50,1750,1,19,0.15156202676839062,0.175890251994133
standard_NN,50,1750,1,20,0.14568626168849214,0.17256638407707214
standard_NN,50,1750,1,21,0.147312754066661,0.19449099898338318
standard_NN,50,1750,1,22,0.1485540433121579,0.16945341229438782
standard_NN,50,1750,1,23,0.13823659511815226,0.1719004511833191
standard_NN,50,1750,1,24,0.13615751738793083,0.17118297517299652
standard_NN,50,1750,1,25,0.13421865509423828,0.1719936728477478
standard_NN,50,1750,1,26,0.13537083493013466,0.17259058356285095
standard_NN,50,1750,1,27,0.1300758964249066,0.17398123443126678
standard_NN,50,1750,1,28,0.12921108352020383,0.17112310230731964
standard_NN,50,1750,1,29,0.12993375597787754,0.16763736307621002
standard_NN,50,1750,1,30,0.12134083563328854,0.16923239827156067
standard_NN,50,1750,1,31,0.12659428378434054,0.17175239324569702
standard_NN,50,1750,1,32,0.11719724023714662,0.1722802221775055
standard_NN,50,1750,1,33,0.11532051282535706,0.1715346723794937
standard_NN,50,1750,1,34,0.1226725232388292,0.1750248670578003
standard_NN,50,1750,1,35,0.12447505271328348,0.1750543862581253
standard_NN,50,1750,1,36,0.11430777635957513,0.17869628965854645
standard_NN,50,1750,1,37,0.12273729738912412,0.17427992820739746
standard_NN,50,1750,1,38,0.11407266523955124,0.17982825636863708
standard_NN,50,1750,1,39,0.10796377302280494,0.17818254232406616
standard_NN,50,1750,1,40,0.10217750112393073,0.17445918917655945
standard_NN,50,1750,1,41,0.10507862233290714,0.18675051629543304
standard_NN,50,1750,1,42,0.1534182827121445,0.1722632348537445
standard_NN,50,1750,1,43,0.10801244453926172,0.1920989751815796
standard_NN,50,1750,1,44,0.09653825389354356,0.18282274901866913
standard_NN,50,1750,1,45,0.09844867179968528,0.17301645874977112
standard_NN,50,1750,1,46,0.09272392300356712,0.18194623291492462
standard_NN,50,1750,1,47,0.08285775484650262,0.18056561052799225
standard_NN,50,1750,1,48,0.09317913175826627,0.18117186427116394
standard_NN,50,1750,1,49,0.09178113059273788,0.1799839586019516
standard_NN,50,1750,1,50,0.08179765404202044,0.17547936737537384
standard_NN,50,1750,1,51,0.08625021616795234,0.18845906853675842
standard_NN,50,1750,1,52,0.09502011790339436,0.1749914437532425
standard_NN,50,1750,1,53,0.07454538614755231,0.17926952242851257
standard_NN,50,1750,1,54,0.07589367690629192,0.18330293893814087
standard_NN,50,1750,1,55,0.0685485505964607,0.17551392316818237
standard_NN,50,1750,1,56,0.07769137308267611,0.18252907693386078
standard_NN,50,1750,1,57,0.06832016771659255,0.18599112331867218
standard_NN,50,1750,1,58,0.06467769181888018,0.18067842721939087
standard_NN,50,1750,1,59,0.06768631489415254,0.1828031837940216
standard_NN,50,1750,1,60,0.06190993144576039,0.17941875755786896
standard_NN,50,1750,1,61,0.059978912850575786,0.1830018311738968
standard_NN,50,1750,1,62,0.05523943827886667,0.17587964236736298
standard_NN,50,1750,1,63,0.05575124134442636,0.18158160150051117
standard_NN,50,1750,1,64,0.05579297750123909,0.19287356734275818
standard_NN,50,1750,1,65,0.05413612922919648,0.18237851560115814
standard_NN,50,1750,1,66,0.049639523561511724,0.1896219402551651
standard_NN,50,1750,1,67,0.05313833204231092,0.18566690385341644
standard_NN,50,1750,1,68,0.05089011216270072,0.1882738322019577
standard_NN,50,1750,1,69,0.0482770027260163,0.18038873374462128
standard_NN,50,1750,1,70,0.044844732786129625,0.19204552471637726
standard_NN,50,1750,1,71,0.04482787092482405,0.17985360324382782
standard_NN,50,1750,1,72,0.045415736468774934,0.18583333492279053
standard_NN,50,1750,1,73,0.04708701159272875,0.19382229447364807
standard_NN,50,1750,1,74,0.047972031336809905,0.18440194427967072
standard_NN,50,1750,1,75,0.041556139277028184,0.19251205027103424
standard_NN,50,1750,1,76,0.04201088855708284,0.1872750222682953
standard_NN,50,1750,1,77,0.04033283041124897,0.1844361275434494
standard_NN,50,1750,1,78,0.04068682206395481,0.1908675879240036
standard_NN,50,1750,1,79,0.038618051746327965,0.1904539316892624
