model,architecture,learning_rate,batch_size,output,rmse,mae,r2,best_validation_loss,epochs,training_time_seconds,prediction_time_seconds
NN1_baseline,64-64-32,0.001,64,f1,0.3138944813395003,0.2188682422318351,0.9982124926826151,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN1_baseline,64-64-32,0.001,64,f2,1.276724891817682,0.9046551255240382,0.9981517737400479,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN1_baseline,64-64-32,0.001,64,f3,2.857471727377416,1.9967793259478328,0.9981712289718366,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN1_baseline,64-64-32,0.001,64,f4,5.008038977132648,3.489864871579802,0.9982226379499647,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN1_baseline,64-64-32,0.001,64,peak_displacement,0.01213225609844705,0.00382642237962961,0.7076045697832949,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN1_baseline,64-64-32,0.001,64,rms_displacement,0.006087714296680205,0.0019754129273102006,0.7086807279286933,0.08024421334266663,273,36.80645549998735,0.0006346250011119992
NN2_smaller,32-32,0.001,64,f1,0.35934489283109267,0.2741830071950433,0.9976573715062549,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN2_smaller,32-32,0.001,64,f2,1.3965842795585206,1.049586676190848,0.9977884600789261,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN2_smaller,32-32,0.001,64,f3,3.114110429966267,2.3511406960638,0.997827981765213,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN2_smaller,32-32,0.001,64,f4,5.556390910054364,4.124637644192019,0.9978121069602685,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN2_smaller,32-32,0.001,64,peak_displacement,0.015533566129345148,0.00557223030062575,0.520675328061045,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN2_smaller,32-32,0.001,64,rms_displacement,0.007800463004044001,0.002871157007052229,0.5216988177701425,0.13077646493911743,122,11.121705375000602,0.0002651670074556023
NN3_wider,128-64-32,0.001,64,f1,0.480296175260519,0.32034673316778867,0.9958149685679752,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN3_wider,128-64-32,0.001,64,f2,1.7822187565946477,1.169238485671009,0.9963985075804142,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN3_wider,128-64-32,0.001,64,f3,4.153008791265676,2.7412483311054747,0.9961370316520207,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN3_wider,128-64-32,0.001,64,f4,7.056936660307812,4.638877956040726,0.9964708270550011,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN3_wider,128-64-32,0.001,64,peak_displacement,0.01515881136898917,0.005451970298115782,0.5435242193712515,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN3_wider,128-64-32,0.001,64,rms_displacement,0.007652887272949431,0.002918176166299869,0.5396254324463278,0.1382731944322586,78,11.472147125023184,0.0015931249945424497
NN4_larger,128-128-64,0.001,64,f1,0.4379646658203372,0.26786772613637355,0.9965201652929186,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
NN4_larger,128-128-64,0.001,64,f2,1.7842279786974489,1.081119694883073,0.9963903825653604,0.13172566890716553,89,15.197964749997482,0.0011192919919267297
